,Province,Inhabitants,Land area,Inhabitants per square km,Average household income,Latitude,Longitude,Number of cinemas,Number of cinemas per inhabitant,Number of cinemas per square km,Number of cinemas per inhabitant times square km,Number of inhabitants per cinema,Number of potential customers for a new cinema,Label,Mean number of cinemas per inhabitant,Mean number of cinemas per square km,Mean number of cinemas per inhabitant times square km,Std number of cinemas per inhabitant,Std number of cinemas per square km,Std number of cinemas per inhabitant times square km
Schouwen-Duiveland,Zeeland,33789,229.65,147.0,30600.0,51.6874353,3.87663408803365,0.2,5.919086093107224e-06,0.0008708904855214457,0.001359318121282074,168945.0,28157,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Simpelveld,Limburg,10505,16.03,659.0,28000.0,50.83554960000001,5.9827262,2.4,0.00022846263683960017,0.14971927635683094,0.003662256068538791,4377.083333333334,3089,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Sint Anthonis,Noord-Brabant,11612,99.27,117.0,31900.0,51.626921,5.8816763,0.2,1.722356183258698e-05,0.002014707363755415,0.0017097829831209093,58060.0,9676,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Sint-Michielsgestel,Noord-Brabant,28982,58.38,491.0,33000.0,51.6391001,5.3515392,2.6,8.971085501345664e-05,0.044535799931483384,0.005237319715685598,11146.923076923076,8050,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Sittard-Geleen,Limburg,92627,79.01,1177.0,27500.0,51.00940429999999,5.8376057867168,2.3,2.4830772884796007e-05,0.02911023921022655,0.0019618793656277327,40272.608695652176,28068,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Sliedrecht,Zuid-Holland,25018,12.84,1949.0,27900.0,51.8308564,4.769843031183671,1.1,4.3968342793188905e-05,0.08566978193146418,0.0005645535214645456,22743.63636363636,11913,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Sluis,Zeeland,23391,279.36,84.0,28400.0,51.3097693,3.3848220999999996,0.8,3.4201188491300076e-05,0.00286368843069874,0.00955444401692959,29238.75,12995,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Smallingerland,Friesland,55939,117.31,476.0,26500.0,53.11525265,6.050738915587701,0.9,1.6088954039221294e-05,0.007671980223339868,0.00188739519834105,62154.444444444445,29441,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Someren,Noord-Brabant,19321,80.27,238.0,30500.0,51.3858887,5.7133677,0.2,1.035143108534755e-05,0.0024915908807773765,0.0008309093732208478,96605.0,16100,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Son en Breugel,Noord-Brabant,16911,25.95,646.0,34200.0,51.517812799999994,5.49143470757426,4.9,0.0002897522322748507,0.18882466281310215,0.007519070427532376,3451.224489795918,2866,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Stadskanaal,Groningen (provincie),31801,117.64,274.0,25100.0,52.992561800000004,6.9624466,0.4,1.2578220810666332e-05,0.0034002040122407345,0.0014797018961667874,79502.5,22715,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Staphorst,Overijssel,17005,133.99,125.0,29500.0,52.6473009,6.2072973,0.8,4.7044986768597475e-05,0.005970594820508993,0.0063035577771243766,21256.25,9447,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Stede Broec,Noord-Holland,21702,14.5,1494.0,28300.0,52.697291899999996,5.22599031191976,0.6,2.7647221454243847e-05,0.041379310344827586,0.0004008847110865358,36170.0,13563,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Steenwijkerland,Overijssel,43931,288.27,152.0,27700.0,52.7478796,6.023203149701179,0.4,9.105187680681069e-06,0.0013875880251153433,0.0026247524527099313,109827.5,31379,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Stichtse Vecht,Utrecht (provincie),64372,96.1,671.0,34300.0,52.20301145,4.99483765045446,0.3,4.660411358975952e-06,0.003121748178980229,0.000447865531597589,214573.33333333334,49516,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Sdwest-Frysln,Friesland,89705,522.26,172.0,27500.0,52.97483265,5.4360738924679195,0.1,1.1147650632629174e-06,0.00019147551028223493,0.0005821972019396912,897050.0,81550,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Terneuzen,Zeeland,54579,250.38,217.0,27900.0,51.3254737,3.8403111000000005,0.5,9.161032631598233e-06,0.0019969646137870437,0.0022937393502995658,109158.0,36386,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Texel,Noord-Holland,13551,162.0,84.0,29500.0,53.0775961,4.90573113717644,0.2,1.4759058372075862e-05,0.0012345679012345679,0.0023909674562762897,67755.0,11292,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Teylingen,Zuid-Holland,37061,28.38,1289.0,34900.0,52.2174139,4.51138444863757,1.8,4.856857613124309e-05,0.06342494714587739,0.001378376190604679,20589.444444444445,13236,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Tholen,Zeeland,25794,146.71,174.0,28200.0,51.5354462,4.223281299999999,0.9,3.4891835310537335e-05,0.006134551155340467,0.0051189811584089326,28660.0,13575,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Tiel,Gelderland,41995,32.88,1261.0,27700.0,51.89242535,5.4304381741379295,0.3,7.143707584236218e-06,0.009124087591240875,0.00023488510536968688,139983.33333333334,32303,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Tietjerksteradeel,Friesland,31764,148.86,214.0,28200.0,53.20512135,5.97344714650753,0.2,6.296436217101121e-06,0.0013435442697836894,0.000937287495277673,158820.0,26470,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Tilburg,Noord-Brabant,217342,116.17,1855.0,27000.0,51.57370915,5.0439311164372995,3.5,1.6103652308343532e-05,0.030128260308169064,0.001870761288660268,62097.71428571428,48298,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Tubbergen,Overijssel,21275,147.0,144.0,30600.0,52.408108399999996,6.781869400000001,0.6,2.8202115158636897e-05,0.004081632653061224,0.004145710928319624,35458.333333333336,13296,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Twenterand,Overijssel,33785,106.17,319.0,27000.0,52.43930400000001,6.635427575044661,0.6,1.775936066301613e-05,0.005651313930488839,0.0018855113215924225,56308.333333333336,21115,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Tynaarlo,Drenthe,33695,143.0,234.0,32200.000000000004,53.0790514,6.6199304,0.4,1.1871197507048524e-05,0.002797202797202797,0.001697581243507939,84237.5,24067,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Uden,Noord-Brabant,41770,67.0,623.0,29500.0,51.6590888,5.614860500000001,1.3,3.112281541776395e-05,0.019402985074626865,0.0020852286329901847,32130.76923076923,18160,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Uitgeest,Noord-Holland,13536,19.16,705.0,32400.0,52.52329395,4.73746699027213,1.2,8.865248226950354e-05,0.06263048016701461,0.0016985815602836877,11280.0,6152,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Uithoorn,Noord-Holland,29450,18.14,1623.0,31400.0,52.24400285,4.828160506359509,1.2,4.0747028862478774e-05,0.0661521499448732,0.000739151103565365,24541.666666666668,13386,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Utrecht (gemeente),Utrecht (provincie),352795,93.83,3703.0,30000.0,52.0671066,5.0940706,5.0,1.417253645885004e-05,0.05328786102525845,0.0013298090959338992,70559.0,58799,5,7.839117564691203e-06,0.03719749425023043,0.0008868277607354155,5.007061033517467e-06,0.024206055537566294,0.0003112290722426245
Utrechtse Heuvelrug,Utrecht (provincie),49526,132.01,374.0,35800.0,52.02865365,5.394884282941399,0.4,8.076565844203045e-06,0.0030300734792818728,0.0010661874570932438,123815.0,35375,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Vaals,Limburg,10094,23.89,413.0,25700.0,50.7710157,6.019049,2.3,0.00022785813354467998,0.09627459187944745,0.005443530810382405,4388.695652173913,3058,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Valkenburg aan de Geul,Limburg,16475,36.73,447.0,28900.0,50.86094405,5.813710004178519,1.9,0.00011532625189681334,0.05172883201742445,0.004235933232169954,8671.052631578948,5681,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Valkenswaard,Noord-Brabant,30892,54.92,558.0,29500.0,51.350688,5.4594497,2.4,7.769001683283697e-05,0.043699927166788055,0.004266735724459406,12871.666666666668,9085,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Veendam,Groningen (provincie),27474,76.0,362.0,26000.0,53.102844299999994,6.8694863,0.2,7.279609812914028e-06,0.002631578947368421,0.0005532503457814661,137370.0,22895,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Veenendaal,Utrecht (provincie),65599,19.46,3336.0,28800.0,52.02320415,5.55180028316229,2.0,3.048826963825668e-05,0.10277492291880781,0.000593301727160475,32799.5,21866,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Veere,Zeeland,21839,132.56,165.0,31900.0,51.54751629999999,3.6660882000000004,0.6,2.7473785429735793e-05,0.004526252263126132,0.003641924996565777,36398.333333333336,13649,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Veldhoven,Noord-Brabant,45358,31.69,1418.0,31700.0,51.40770635,5.392731058176401,5.0,0.00011023413730764143,0.1577784790154623,0.003493319811279157,9071.6,7559,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Velsen,Noord-Holland,68356,45.2,1501.0,29700.0,52.4519103,4.603891145874139,2.4,3.5110304874480656e-05,0.053097345132743355,0.0015869857803265258,28481.666666666668,20104,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Venlo,Limburg,101578,124.25,814.0,26800.0,51.3769197,6.149487967509179,0.7,6.891255980625726e-06,0.005633802816901408,0.0008562385555927464,145111.42857142858,59751,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Venray,Limburg,43312,163.27,265.0,28900.0,51.536713899999995,5.9721181879782,0.5,1.1544144809752493e-05,0.0030624119556562747,0.0018848125230882897,86624.0,28874,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Vlaardingen,Zuid-Holland,72455,23.57,3057.0,27000.0,51.9227863,4.3295633788708505,5.0,6.900835001035126e-05,0.21213406873143828,0.0016265268097439792,14491.0,12075,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Voerendaal,Limburg,12452,31.51,393.0,31100.0,50.8804521,5.9269620000000005,2.5,0.00020077096048827498,0.07933989209774674,0.0063262929649855444,4980.8,3557,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Voorschoten,Zuid-Holland,25476,11.14,2284.0,35300.0,52.12572195,4.44101686458321,2.6,0.00010205683780813315,0.2333931777378815,0.0011369131731826033,9798.461538461539,7076,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Voorst,Gelderland,24401,122.97,198.0,30800.0,52.1730487,6.1415761,1.2,4.9178312364247365e-05,0.009758477677482313,0.006047457071431499,20334.166666666668,11091,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Vught,Noord-Brabant,26400,33.5,789.0,35900.0,51.656821,5.2893308,2.8,0.00010606060606060605,0.0835820895522388,0.0035530303030303027,9428.57142857143,6947,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Waalre,Noord-Brabant,17253,22.39,763.0,37300.0,51.387640399999995,5.4476871,5.0,0.000289804671651307,0.2233139794551139,0.006488726598272764,3450.6,2875,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Waalwijk,Noord-Brabant,48256,64.58,739.0,28800.0,51.6852544,5.0705122000000005,0.2,4.144562334217507e-06,0.0030969340353050484,0.0002676558355437666,241280.0,40213,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Waddinxveen,Zuid-Holland,28311,27.77,993.0,30700.0,52.044343700000006,4.64159612038075,2.1,7.417611529087634e-05,0.07562117392870005,0.002059870721627636,13481.42857142857,9132,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Wageningen,Gelderland,38781,30.42,1263.0,28800.0,51.9685817,5.66829806182796,1.9,4.899306361362523e-05,0.06245890861275476,0.0014903689951264794,20411.052631578947,13372,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Wassenaar,Zuid-Holland,26189,51.11,510.0,49100.0,52.14361135,4.37096681867845,5.0,0.00019091985184619496,0.09782821365681862,0.009757913627859025,5237.8,4364,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Waterland,Noord-Holland,17306,52.11,331.0,34000.0,52.44350745,5.058109822038441,0.5,2.8891713856465966e-05,0.009595087315294569,0.0015055472090604414,34612.0,11537,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Weert,Limburg,49841,104.32,478.0,28700.0,51.253133399999996,5.708582700000001,0.4,8.025521157280151e-06,0.0038343558282208593,0.0008372223671274654,124602.5,35600,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Weesp,Noord-Holland,19331,22.79,840.0,30600.0,52.30444305,5.05853435200663,3.5,0.00018105633438518441,0.153576129881527,0.004126273860638353,5523.142857142857,4295,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
West Maas en Waal,Gelderland,19073,76.76,246.0,30100.0,51.8521914,5.498379747027481,0.4,2.0972054737062866e-05,0.005211047420531527,0.0016098149216169457,47682.5,13623,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Westerveld,Drenthe,19345,278.35,69.0,30000.0,52.82845325,6.3111622615766105,0.2,1.033858878263117e-05,0.0007185198491108317,0.0028777461876453867,96725.0,16120,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Westervoort,Gelderland,14937,7.03,2136.0,27600.0,51.96159,5.9802599999999995,3.2,0.00021423311240543618,0.45519203413940257,0.0015060587802102163,4667.8125,3556,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Westvoorne,Zuid-Holland,14628,53.18,273.0,37000.0,51.8882976,4.0599055903128205,0.2,1.367240907847963e-05,0.0037608123354644606,0.0007270987147935468,73140.0,12190,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Wierden,Overijssel,24345,94.63,256.0,31000.0,52.35195215,6.56744842056736,1.5,6.161429451632779e-05,0.01585120997569481,0.005830560690080098,16230.0,9738,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Wijchen,Gelderland,40937,66.18,617.0,30100.0,51.8099983,5.7362233,3.7,9.038278330117009e-05,0.05590812934421275,0.005981532598871437,11064.054054054053,8710,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Wijdemeren,Noord-Holland,24018,47.6,497.0,36100.0,52.2256115,5.09036779115721,1.7,7.078024814722291e-05,0.03571428571428571,0.003369139811807811,14128.235294117647,8895,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Wijk bij Duurstede,Utrecht (provincie),23763,47.62,497.0,32300.0,51.97750739999999,5.32692972728341,0.3,1.2624668602449186e-05,0.00629987400251995,0.0006011867188486302,79210.0,18279,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Winterswijk,Gelderland,28907,138.14,210.0,27400.0,51.9746432,6.7224185,0.4,1.383747881136057e-05,0.002895613146083684,0.001911509323001349,72267.5,20647,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Woensdrecht,Noord-Brabant,21861,91.66,238.0,29300.0,51.4297206,4.2975384000000005,0.8,3.659484927496455e-05,0.008727907484180668,0.0033542838845432507,27326.25,12145,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Woerden,Utrecht (provincie),52204,88.57,584.0,32800.0,52.08701595,4.876687198673499,0.4,7.662248103593595e-06,0.0045162018742237785,0.0006786453145352847,130510.0,37288,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Wormerland,Noord-Holland,16332,38.59,414.0,31600.0,52.50555225,4.85934288905351,2.3,0.00014082782267940238,0.059600932884166874,0.0054345456771981385,7100.869565217392,4949,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Woudenberg,Utrecht (provincie),13165,36.53,356.0,31900.0,52.08025955,5.41222657616449,2.4,0.00018230155715913407,0.0656994251300301,0.006659475883023167,5485.416666666667,3872,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Zaanstad,Noord-Holland,155799,73.87,2097.0,27800.0,52.468923499999995,4.77378352245171,2.1,1.3478905512872355e-05,0.02842832002165967,0.000995686750235881,74190.0,50257,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Zaltbommel,Gelderland,28441,79.38,353.0,30700.0,51.80498155,5.25456598621679,0.4,1.4064203087092578e-05,0.005039052658100278,0.0011164164410534087,71102.5,20315,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Zandvoort,Noord-Holland,17004,32.12,528.0,30900.0,52.3595916,4.5325240299420395,2.6,0.00015290519877675843,0.08094645080946451,0.004911314984709481,6540.0,4723,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Zeewolde,Flevoland,22312,247.23,91.0,29700.0,52.33580305,5.5280178511441695,0.5,2.2409465758336323e-05,0.0020224082837843305,0.005540292219433489,44624.0,14874,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Zeist,Utrecht (provincie),63960,48.51,1305.0,34800.0,52.08653175,5.24900795767188,5.0,7.817385866166354e-05,0.10307153164296022,0.003792213883677298,12792.0,10660,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Zevenaar,Gelderland,43507,92.6,469.0,27900.0,51.9357252,6.0789395,1.0,2.298480704254488e-05,0.010799136069114472,0.0021283931321396557,43507.0,21753,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Zoetermeer,Zuid-Holland,124947,34.45,3620.0,29600.0,52.06228915,4.48775455369488,1.9,1.5206447533754311e-05,0.05515239477503628,0.0005238621175378361,65761.57894736843,43085,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Zoeterwoude,Zuid-Holland,8451,21.19,398.0,33700.0,52.11718945,4.50345950207935,2.8,0.0003313217370725358,0.13213780084945728,0.007020707608567034,3018.214285714286,2223,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Zuidplas,Zuid-Holland,42767,58.02,722.0,32800.0,51.9995787,4.61345093742516,2.3,5.377978347791521e-05,0.03964150293002412,0.0031203030373886404,18594.34782608696,12959,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Zundert,Noord-Brabant,21624,120.65,178.0,30100.0,51.4702197,4.6610472000000005,0.1,4.624491305956345e-06,0.0008288437629506838,0.000557944876063633,216240.0,19658,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Zutphen,Gelderland,47605,40.95,1161.0,27000.0,52.143221999999994,6.2044441,0.3,6.301859048419283e-06,0.007326007326007325,0.0002580611280327697,158683.33333333334,36619,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Zwartewaterland,Overijssel,22502,82.49,272.0,29400.0,52.6099199,6.04552205192132,0.3,1.3332148253488579e-05,0.0036368044611468056,0.0010997689094302727,75006.66666666667,17309,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Zwijndrecht,Zuid-Holland,44654,20.3,2196.0,28700.0,51.82052005,4.6257315183795304,1.9,4.254937967483316e-05,0.09359605911330049,0.0008637524073991132,23502.105263157897,15397,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Zwolle,Overijssel,127492,111.1,1135.0,28600.0,52.51456525,6.09772035967769,2.4,1.8824710570074983e-05,0.021602160216021602,0.0020914253443353307,53121.66666666667,37497,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
